N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
156,서울가스,"326,500","1,500",+0.46%,"5,000","16,325","5,000",4.70,"12,503",80.68,0.80,
157,LX인터내셔널,"41,850",200,-0.48%,"5,000","16,221","38,760",31.26,"219,884",3.10,22.49,
158,LS ELECTRIC,"54,000",100,-0.18%,"5,000","16,200","30,000",12.63,"64,067",17.52,5.86,
159,대성홀딩스,"100,000","1,500",+1.52%,"1,000","16,089","16,089",4.04,"27,140",70.13,3.61,
160,TIGER TOP10,"9,855",45,+0.46%,0,"15,827","160,600",0.73,"145,197",N/A,N/A,
161,SK케미칼,"87,000","1,700",-1.92%,"5,000","14,991","17,231",18.16,"71,269",11.58,11.19,
162,롯데정밀화학,"57,700",100,+0.17%,"5,000","14,887","25,800",19.72,"51,453",3.04,30.43,
163,한전KPS,"32,700",250,+0.77%,200,"14,715","45,000",5.27,"203,712",21.70,9.12,
164,에스엘,"31,650",200,-0.63%,500,"14,701","46,449",16.36,"94,822",14.43,6.63,
165,TIGER 단기통안채,"101,550",5,0.00%,0,"14,700","14,476",5.37,"144,547",N/A,N/A,
166,KODEX 단기채권PLUS,"104,175",10,-0.01%,0,"14,682","14,094",0.01,"534,702",N/A,N/A,
167,녹십자,"125,500",0,0.00%,"5,000","14,667","11,687",23.10,"33,368",11.76,10.30,
168,효성,"69,100",500,+0.73%,"5,000","14,560","21,071",4.97,"53,830",4.86,18.04,
169,효성첨단소재,"324,000","1,500",-0.46%,"5,000","14,515","4,480",6.33,"27,392",6.19,54.69,
170,두산,"86,900",500,+0.58%,"5,000","14,359","16,524",6.18,"140,706",-17.51,11.08,
171,JB금융지주,"7,230",10,-0.14%,"5,000","14,242","196,983",26.81,"321,522",2.60,12.80,
172,DL이앤씨,"36,050",150,+0.42%,"5,000","13,949","38,694",22.95,"89,308",2.96,N/A,
173,현대일렉트릭,"38,400",250,+0.66%,"5,000","13,842","36,047",11.28,"432,898",-28.98,-5.08,
174,동원시스템즈,"47,350",500,+1.07%,"5,000","13,727","28,991",13.26,"9,053",29.54,6.95,
175,TIGER 미국필라델피아반도체나스닥,"8,890",75,-0.84%,0,"13,713","154,250",0.00,"1,192,277",N/A,N/A,
176,TIGER 2차전지테마,"20,385",100,-0.49%,0,"13,403","65,750",0.14,"1,158,611",N/A,N/A,
177,KODEX 2차전지산업,"22,070",260,-1.16%,0,"13,286","60,200",0.19,"2,871,593",N/A,N/A,
178,롯데칠성,"142,000","9,500",+7.17%,500,"13,176","9,279",12.83,"59,418",8.67,9.96,
179,LX세미콘,"80,800","1,900",-2.30%,500,"13,142","16,264",28.74,"167,775",3.72,44.49,
180,현대백화점,"55,900","1,100",+2.01%,"5,000","13,082","23,402",23.33,"61,155",6.12,4.36,
181,DL,"61,300",400,-0.65%,"5,000","12,846","20,956",9.96,"36,923",8.25,26.52,
182,현대두산인프라코어,"6,390",90,+1.43%,"1,000","12,637","197,763",8.63,"4,253,808",2.56,24.63,
183,TIGER 미국테크TOP10 INDXX,"9,240",230,-2.43%,0,"12,566","136,000",0.00,"2,300,519",N/A,N/A,
184,롯데제과,"132,000","1,500",+1.15%,500,"12,454","9,435",14.57,"11,366",25.64,2.88,
185,코오롱인더,"45,150",150,+0.33%,"5,000","12,425","27,519",17.68,"80,070",7.16,8.20,
